eruptionID,year,waiting_min,dur
23913,1970,70.0,4.5
23914,1970,71.0,4.0
23917,1970,71.0,3.5
23918,1970,72.0,3.75
23919,1970,61.0,3.5
23920,1970,67.0,4.0
23921,1970,69.0,3.25
23922,1970,68.0,3.75
23923,1970,68.0,3.0
23924,1970,56.0,2.5
23932,1970,50.0,1.75
23933,1970,75.0,3.5
23934,1970,45.0,2.0
23935,1970,71.0,4.0
23937,1970,66.0,3.25
23938,1970,63.0,3.75
23939,1970,51.0,2.75
23955,1970,65.0,2.75
23956,1970,77.0,3.0
23957,1970,46.0,1.5
23958,1970,73.0,4.0
23959,1970,79.0,4.0
23960,1970,41.0,2.25
23961,1970,78.0,4.25
23966,1970,47.0,2.0
23967,1970,72.0,4.0
23968,1970,69.0,3.5
23969,1970,72.0,4.0
23970,1970,43.0,2.0
23971,1970,78.0,4.0
23972,1970,46.0,2.0
23973,1970,73.0,4.0
23980,1970,79.0,4.0
23981,1970,46.0,2.0
23982,1970,74.0,4.5
23983,1970,48.0,1.5
23984,1970,73.0,3.75
23985,1970,55.0,2.0
23986,1970,150.0,4.0
23992,1970,49.0,3.5
23993,1970,90.0,4.25
23994,1970,51.0,3.25
23995,1970,71.0,3.25
23996,1970,76.0,4.0
23997,1970,65.0,4.0
23998,1970,74.0,4.0
23999,1970,68.0,4.0
24004,1970,76.0,2.0
24005,1970,70.0,3.75
24006,1970,67.0,3.75
24007,1970,85.0,3.5
24008,1970,63.0,3.75
24009,1970,80.0,4.5
24010,1970,41.0,1.75
24011,1970,83.0,4.25
24015,1970,71.0,4.0
24016,1970,48.0,2.0
24017,1970,74.0,4.5
24018,1970,64.0,3.25
24019,1970,74.0,4.0
24020,1970,61.0,3.5
24021,1970,66.0,4.0
24022,1970,65.0,3.0
24024,1970,75.0,3.5
24025,1970,56.0,2.0
24031,1970,70.0,4.0
24032,1970,75.0,4.0
24033,1970,85.0,4.0
24034,1970,63.0,4.0
24035,1970,50.0,2.5
24036,1970,77.0,3.5
24037,1970,49.0,2.0
24038,1970,73.0,4.5
24039,1970,53.0,2.0
24040,1970,67.0,4.0
24049,1970,72.0,4.25
24050,1970,53.0,1.75
24051,1970,70.0,4.25
24052,1970,45.0,2.0
24053,1970,77.0,4.0
24054,1970,51.0,2.0
24055,1970,77.0,4.0
24056,1970,49.0,2.0
24057,1970,72.0,4.0
24058,1970,49.0,1.75
24059,1970,76.0,4.0
24068,1970,75.0,3.75
24069,1970,44.0,2.0
24070,1970,80.0,4.5
24071,1970,43.0,2.25
24072,1970,85.0,4.0
24073,1970,42.0,2.0
24074,1970,76.0,4.0
24075,1970,57.0,2.0
24076,1970,70.0,4.5
24077,1970,50.0,1.5
24083,1970,72.0,4.0
24084,1970,46.0,1.5
24085,1970,16.0,2.75
24086,1970,107.0,2.0
24087,1970,77.0,4.0
24088,1970,46.0,2.0
24089,1970,81.0,4.0
24090,1970,46.0,2.0
24096,1970,76.0,4.0
24097,1970,47.0,2.5
24098,1970,73.0,4.0
24099,1970,48.0,2.0
24100,1970,79.0,4.0
24101,1970,72.0,4.0
24102,1970,43.0,2.5
