eruptionID,year,waiting_min,dur
1092343,1993,87.0,4.14
1092344,1993,51.0,2.0
1092345,1993,88.0,4.41
1092346,1993,58.0,2.04
1092359,1993,56.0,1.44
1092360,1993,83.0,4.33
1092361,1993,54.0,1.54
1092362,1993,88.0,4.33
1092363,1993,50.0,2.08
1092364,1993,84.0,4.39
1092365,1993,63.0,2.41
1092366,1993,82.0,4.47
1092368,1993,108.0,4.4
1092379,1993,52.0,1.43
1092380,1993,90.0,4.19
1092381,1993,58.0,1.43
1092382,1993,86.0,4.29
1092383,1993,52.0,1.55
1092384,1993,82.0,4.43
1092385,1993,64.0,2.04
1092386,1993,80.0,3.59
1092387,1993,56.0,1.59
1092399,1993,55.0,1.58
1092400,1993,93.0,4.41
1092401,1993,58.0,2.04
1092402,1993,92.0,4.35
1092403,1993,56.0,1.43
1092404,1993,88.0,4.07
1092405,1993,49.0,2.1
1092406,1993,87.0,4.38
1092407,1993,74.0,2.37
1092409,1993,52.0,1.43
1092420,1993,46.0,1.58
1092421,1993,88.0,4.36
1092422,1993,53.0,1.41
1092423,1993,90.0,4.26
1092424,1993,83.0,4.05
1092425,1993,89.0,4.07
1092426,1993,55.0,1.48
1092438,1993,89.0,1.45
1092439,1993,85.0,4.53
1092440,1993,52.0,2.03
1092441,1993,90.0,4.31
1092442,1993,61.0,1.59
1092443,1993,89.0,4.31
1092444,1993,59.0,1.42
1092446,1993,70.0,2.0
1092457,1993,81.0,4.37
1092458,1993,59.0,2.12
1092459,1993,86.0,4.36
1092460,1993,62.0,2.15
1092461,1993,94.0,4.41
1092462,1993,64.0,2.05
1092463,1993,78.0,4.27
1092464,1993,64.0,2.06
1092465,1993,81.0,4.21
1092476,1993,52.0,1.59
1092477,1993,85.0,4.15
1092478,1993,78.0,3.46
1092479,1993,58.0,2.1
1092480,1993,88.0,4.5
1092481,1993,53.0,1.4
1092482,1993,92.0,4.44
1092483,1993,53.0,1.49
1092484,1993,88.0,4.39
1092495,1993,85.0,4.11
1092496,1993,74.0,1.47
1092497,1993,95.0,4.48
1092498,1993,47.0,1.45
1092499,1993,90.0,4.35
1092500,1993,52.0,1.36
1092501,1993,94.0,4.36
1092513,1993,78.0,4.08
1092514,1993,73.0,1.44
1092515,1993,84.0,4.49
1092516,1993,87.0,4.06
1092517,1993,86.0,4.24
1092518,1993,79.0,4.34
1092519,1993,62.0,1.52
1092520,1993,84.0,4.47
1092531,1993,49.0,1.4
1092532,1993,95.0,4.47
1092533,1993,56.0,1.48
1092534,1993,85.0,4.4
1092535,1993,69.0,1.57
1092536,1993,90.0,4.45
1092537,1993,53.0,2.04
1092539,1993,54.0,1.55
1092550,1993,62.0,1.4
1092551,1993,91.0,4.38
1092552,1993,63.0,1.48
1092553,1993,82.0,4.13
