eruptionID,waiting_min,dur,labels
1092382,86.0,4.29,0
1092383,52.0,1.55,1
1092384,82.0,4.43,0
1092385,64.0,2.04,1
1092386,80.0,3.59,0
1092387,56.0,1.59,1
1092399,55.0,1.58,1
1092400,93.0,4.41,0
1092401,58.0,2.04,1
1092402,92.0,4.35,0
1092403,56.0,1.43,1
1092404,88.0,4.07,0
1092405,49.0,2.1,1
1092406,87.0,4.38,0
1092407,74.0,2.37,1
1092409,52.0,1.43,1
1092420,46.0,1.58,1
1092421,88.0,4.36,0
1092422,53.0,1.41,1
1092423,90.0,4.26,0
1092424,83.0,4.05,0
1092425,89.0,4.07,0
1092426,55.0,1.48,1
1092438,89.0,1.45,1
1092439,85.0,4.53,0
1092440,52.0,2.03,1
1092441,90.0,4.31,0
1092442,61.0,1.59,1
1092443,89.0,4.31,0
1092444,59.0,1.42,1
1092446,70.0,2.0,1
1092457,81.0,4.37,0
1092458,59.0,2.12,1
1092459,86.0,4.36,0
1092460,62.0,2.15,1
1092461,94.0,4.41,0
1092462,64.0,2.05,1
1092463,78.0,4.27,0
1092464,64.0,2.06,1
1092465,81.0,4.21,0
1092476,52.0,1.59,1
1092477,85.0,4.15,0
1092478,78.0,3.46,0
1092479,58.0,2.1,1
1092480,88.0,4.5,0
1092481,53.0,1.4,1
1092482,92.0,4.44,0
1092483,53.0,1.49,1
1092484,88.0,4.39,0
1092495,85.0,4.11,0
1092496,74.0,1.47,1
1092497,95.0,4.48,0
1092498,47.0,1.45,1
1092499,90.0,4.35,0
1092500,52.0,1.36,1
1092501,94.0,4.36,0
1092513,78.0,4.08,0
1092514,73.0,1.44,1
1092515,84.0,4.49,0
1092516,87.0,4.06,0
1092517,86.0,4.24,0
1092518,79.0,4.34,0
1092519,62.0,1.52,1
1092520,84.0,4.47,0
1092531,49.0,1.4,1
1092532,95.0,4.47,0
1092533,56.0,1.48,1
1092534,85.0,4.4,0
1092535,69.0,1.57,1
1092536,90.0,4.45,0
1092537,53.0,2.04,1
1092539,54.0,1.55,1
1092550,62.0,1.4,1
1092551,91.0,4.38,0
1092552,63.0,1.48,1
1092553,82.0,4.13,0
1092554,86.0,3.57,0
1092555,66.0,2.06,1
1092556,79.0,4.24,0
1092557,63.0,1.48,1
1092569,84.0,4.21,0
1092570,63.0,1.46,1
1092571,78.0,4.38,0
1092572,83.0,4.03,0
1092573,55.0,1.49,1
1092574,86.0,4.37,0
1092575,77.0,1.57,1
1092589,88.0,4.34,0
1092590,82.0,4.09,0
1092591,78.0,4.3,0
1092592,62.0,2.16,1
1092593,94.0,4.34,0
1092594,52.0,1.53,1
1092595,83.0,4.05,0
1092607,66.0,2.12,1
1092608,91.0,4.55,0
1092609,76.0,4.2,0
1092610,81.0,3.52,0
1092611,82.0,4.29,0
1092612,52.0,2.0,1
1092613,89.0,5.06,0
1092614,55.0,2.1,1
1092626,61.0,1.17,1
1092627,98.0,4.44,0
1092628,85.0,4.35,0
1092629,77.0,4.27,0
1092630,75.0,3.53,0
1092631,77.0,4.06,0
1092632,61.0,2.02,1
1092633,93.0,4.48,0
1092645,58.0,1.56,1
1092646,79.0,4.3,0
1092647,69.0,2.0,1
1092648,80.0,4.08,0
1092649,55.0,1.57,1
1092650,90.0,4.43,0
1092651,54.0,1.57,1
1092652,95.0,4.34,0
1092664,75.0,3.43,0
1092665,61.0,2.2,1
1092666,103.0,4.24,0
1092667,60.0,1.59,1
1092668,85.0,4.21,0
1092669,54.0,2.07,1
1092670,85.0,4.05,0
1092683,60.0,1.56,1
1092684,84.0,4.49,0
1092685,65.0,2.0,1
1092686,82.0,4.04,0
1092687,80.0,3.5,0
1092688,76.0,3.53,0
1092699,77.0,4.3,0
1092700,91.0,3.58,0
1092701,74.0,4.02,0
1092702,86.0,4.0,0
1092703,49.0,1.51,1
1092704,99.0,4.19,0
1092705,51.0,1.5,1
1092720,57.0,1.44,1
1092721,91.0,4.44,0
1092722,58.0,1.57,1
1092723,89.0,4.44,0
1092724,62.0,1.47,1
1092725,86.0,4.51,0
1092726,69.0,1.52,1
1092738,97.0,4.5,0
1092739,55.0,2.08,1
1092740,97.0,5.01,0
1092741,58.0,1.52,1
1092742,83.0,4.56,0
1092743,63.0,1.54,1
1092744,80.0,4.34,0
1092745,93.0,4.02,0
1092748,85.0,4.24,0
1092749,67.0,1.49,1
1092750,91.0,4.4,0
1092751,54.0,1.3,1
1092752,88.0,4.25,0
1092753,78.0,3.56,0
1092754,56.0,1.45,1
1092768,63.0,1.48,1
1092770,90.0,4.04,0
1092771,83.0,4.3,0
1092773,81.0,4.1,0
1092785,94.0,4.48,0
1092786,80.0,4.0,0
1092787,55.0,1.3,1
1092788,89.0,4.42,0
1092789,53.0,1.55,1
1092790,93.0,4.35,0
1092791,52.0,1.52,1
1092792,96.0,4.36,0
1092793,56.0,1.49,1
1092805,87.0,4.38,0
1092806,57.0,1.49,1
1092807,95.0,4.38,0
1092808,59.0,1.54,1
1092809,94.0,4.18,0
1092810,62.0,1.54,1
1092811,95.0,4.45,0
1092812,51.0,1.51,1
1092824,82.0,4.09,0
1092825,79.0,4.08,0
1092826,73.0,4.0,0
1092827,89.0,3.53,0
1092828,81.0,3.58,0
1092829,78.0,4.17,0
1092843,63.0,2.49,1
1092844,87.0,4.25,0
1092845,77.0,3.41,0
1092846,85.0,4.02,0
1092847,63.0,2.0,1
1092848,91.0,4.3,0
1092849,58.0,2.03,1
1092850,80.0,4.34,0
1093327,60.0,1.46,1
1093328,98.0,4.25,0
1093329,57.0,1.54,1
1093330,86.0,4.07,0
1093331,57.0,2.05,1
1093332,84.0,4.19,0
1093333,59.0,1.5,1
1093334,81.0,4.29,0
1093346,87.0,3.48,0
1093347,53.0,2.07,1
1093348,85.0,4.24,0
1093349,71.0,2.02,1
1093350,91.0,4.56,0
1093351,69.0,2.09,1
1093366,94.0,4.22,0
1093367,53.0,2.15,1
1093368,89.0,3.55,0
1093369,63.0,1.53,1
1093370,87.0,4.38,0
1093371,48.0,1.38,1
1093384,88.0,4.29,0
1093385,72.0,3.42,0
1093386,79.0,4.0,0
1093387,88.0,3.4,0
1093388,94.0,4.26,0
1093389,57.0,2.39,1
1093390,103.0,4.34,0
1093391,67.0,2.39,1
1093402,53.0,1.49,1
1093403,94.0,4.33,0
1093404,78.0,4.06,0
1093405,65.0,2.03,1
1093406,79.0,4.34,0
1093407,75.0,3.5,0
1093408,75.0,3.57,0
1093410,82.0,4.31,0
1093411,60.0,1.58,1
1093412,97.0,4.27,0
1093413,75.0,3.36,0
1093414,50.0,1.45,1
1093415,90.0,4.12,0
1093418,87.0,4.39,0
1093419,58.0,2.04,1
1093420,94.0,4.22,0
1093421,81.0,3.53,0
1093422,66.0,2.03,1
1093423,90.0,4.3,0
1093427,78.0,2.42,1
1093428,87.0,4.09,0
1093429,53.0,1.41,1
1093430,90.0,4.23,0
1093431,72.0,3.5,0
1093432,87.0,3.59,0
1093435,57.0,1.5,1
1093436,83.0,4.37,0
1093437,61.0,1.4,1
1093438,90.0,4.46,0
1093439,64.0,1.53,1
1093442,67.0,1.51,1
1093443,99.0,4.25,0
1093444,82.0,4.18,0
1093445,63.0,2.02,1
1093446,86.0,4.31,0
1093447,51.0,1.44,1
1093448,91.0,4.38,0
1093450,54.0,2.0,1
1093451,87.0,4.35,0
1093452,48.0,2.01,1
1093453,94.0,4.49,0
1093454,54.0,1.48,1
1093455,85.0,4.4,0
1093456,63.0,1.54,1
1093457,83.0,4.22,0
1093458,67.0,1.53,1
1093461,55.0,1.47,1
1093462,88.0,4.28,0
1093463,58.0,2.08,1
1093464,96.0,4.29,0
1093465,73.0,1.49,1
1093466,74.0,4.32,0
1093467,67.0,1.53,1
1093471,52.0,1.52,1
1093472,94.0,4.21,0
1093473,56.0,1.52,1
1093474,97.0,4.5,0
1093475,46.0,1.58,1
1093476,96.0,4.43,0
1093477,51.0,1.46,1
1093478,90.0,4.35,0
1093480,91.0,3.01,0
1093481,71.0,4.1,0
1093483,58.0,1.52,1
1093484,89.0,4.28,0
1093485,60.0,1.53,1
1093488,76.0,3.23,0
1093489,85.0,4.16,0
1093490,99.0,4.1,0
1093491,80.0,4.13,0
1093497,105.0,4.34,0
1093498,56.0,1.51,1
1093499,84.0,4.09,0
1093500,66.0,1.47,1
1093501,90.0,4.44,0
1093504,59.0,2.21,1
1093505,82.0,4.29,0
1093506,84.0,3.28,0
1093507,77.0,4.26,0
1093508,65.0,1.38,1
1093509,89.0,4.19,0
1093512,89.0,4.32,0
1093513,56.0,1.23,1
1093514,84.0,4.08,0
1093515,53.0,1.51,1
1093516,96.0,4.35,0
1093518,60.0,1.59,1
1093519,88.0,4.33,0
1093520,51.0,1.43,1
1093521,99.0,4.34,0
1093522,57.0,2.09,1
1093525,80.0,4.27,0
1093526,55.0,1.39,1
1093527,90.0,4.41,0
1093528,65.0,1.12,1
1093530,92.0,4.23,0
1093531,77.0,3.47,0
1093532,86.0,4.13,0
1093533,85.0,4.22,0
1093534,81.0,4.28,0
1094255,63.0,1.57,1
1094256,86.0,4.27,0
1094257,56.0,2.09,1
1094258,86.0,4.26,0
1094259,79.0,3.43,0
1094260,85.0,3.5,0
1094262,82.0,4.15,0
1094263,89.0,3.58,0
1094264,82.0,4.15,0
1094265,90.0,4.02,0
1094266,92.0,4.16,0
1094268,78.0,4.0,0
1094269,71.0,2.25,1
1094270,84.0,4.36,0
1094271,77.0,3.55,0
1094272,81.0,3.39,0
1094273,78.0,4.08,0
1094275,54.0,1.54,1
1094276,92.0,4.28,0
1094277,56.0,1.5,1
1094278,83.0,4.28,0
