Date,Geyser,time,duration,,,,,,,,,,
1/13/1979,Old Faithful,8:24,4:10,,,,,,,,,,
1/13/1979,Old Faithful,9:35,4:10,,,,,,,,,,
1/13/1979,Old Faithful,10:47,~3:51,,,,,,,,,,
1/13/1979,Old Faithful,12:07,2:14,,,,,,,,,,
1/13/1979,Old Faithful,13:08,4:20,,,,,,,,,,
1/13/1979,Old Faithful,14:25,~3:05,,,,,,,,,,
1/13/1979,Old Faithful,15:45,2:08,,,,,,,,,,
1/13/1979,Old Faithful,16:35,4:38,,,,,,,,,,
1/14/1979,Old Faithful,8:35,4:12,,,,,,,,,,
1/14/1979,Old Faithful,9:50,~4 1/4,,,,,,,,,,
1/14/1979,Old Faithful,10:59,~3 3/4,,,,,,,,,,
1/14/1979,Old Faithful,12:10,4:06,,,,,,,,,,
1/14/1979,Old Faithful,13:20,4:46,,,,,,,,,,
1/14/1979,Old Faithful,14:44,4:08,,,,,,,,,,
1/14/1979,Old Faithful,15:49,4:07,,,,,,,,,,
1/14/1979,Old Faithful,17:10,4:01,,,,,,,,,,
1/15/1979,Old Faithful,8:19,~3:55,,,,,,,,,,
1/15/1979,Old Faithful,9:35,3:59,,,,,,,,,,
1/15/1979,Old Faithful,10:45,4:05,,,,,,,,,,
1/15/1979,Old Faithful,11:58,4:00,,,,,,,,,,
1/15/1979,Old Faithful,13:32,4:18,,,,,,,,,,
1/15/1979,Old Faithful,14:52,4:08,,,,,,,,,,
1/15/1979,Old Faithful,16:00,3:53,,,,,,,,,,
1/15/1979,Old Faithful,17:20,4:11:00,,,,,,,,,,
1/16/1979,Old Faithful,8:16,~4,,,,,,,,,,
1/16/1979,Old Faithful,9:35,2:16,,,,,,,,,,
1/16/1979,Old Faithful,10:45,3:59,,,,,,,,,,
1/16/1979,Old Faithful,12:04,3:21,,,,,,,,,,
1/16/1979,Old Faithful,13:19,4:07,,,,,,,,,,
1/16/1979,Old Faithful,14:30,4:25,,,,,,,,,,
1/16/1979,Old Faithful,15:47,3:07,,,,,,,,,,
1/16/1979,Old Faithful,0.71,1:49,,,,,,,,,,
1/17/1979,Old Faithful,8:37,~4:10,,,,,,,,,,
1/17/1979,Old Faithful,10:04,~2.:30,,,,,,,,,,
1/17/1979,Old Faithful,11:16,4:02,,,,,,,,,,
1/17/1979,Old Faithful,12:47,4:01,,,,,,,,,,
1/17/1979,Old Faithful,14:00,3:35,,,,,,,,,,
1/17/1979,Old Faithful,15:22,4:20,,,,,,,,,,
1/17/1979,Old Faithful,16:38,4:00,,,,,,,,,,
1/18/1979,Old Faithful,9:28,3:52,,,,,,,,,,
1/18/1979,Old Faithful,10:39,2:10,,,,,,,,,,
1/18/1979,Old Faithful,11:37,4:02,,,,,,,,,,
1/18/1979,Old Faithful,13:02,1:56,,,,,,,,,,
1/18/1979,Old Faithful,13:54,4:18,,,,,,,,,,
